n_estimators,max depth,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6,Round 7,Round 8,Round 9,Round 10,Avg F1 Score,Avg Accuracy
250,25,0.8,0.8,0.889,0.8,0.818,0.8,0.753,0.8,0.8,0.8,0.806,0.855
250,30,0.8,0.8,0.8,0.818,0.8,0.889,0.8,0.8,0.889,0.8,0.82,0.868
250,35,0.8,0.8,0.8,0.8,0.8,0.777,0.8,0.8,0.727,0.8,0.791,0.845
250,40,0.852,0.889,0.777,0.8,0.8,0.8,0.889,0.889,0.8,0.8,0.83,0.873
250,45,0.889,0.8,0.951,0.753,0.8,0.889,0.8,0.8,0.8,0.889,0.837,0.877
250,50,0.8,0.786,0.889,0.8,0.753,0.8,0.8,0.8,0.889,0.889,0.821,0.859
300,1,0.872,0.688,0.8,0.753,0.727,0.889,0.777,0.753,0.688,0.688,0.763,0.764
300,5,0.852,0.852,0.8,0.777,0.889,0.852,0.777,0.889,0.8,0.8,0.829,0.864
300,10,0.889,0.8,0.889,0.8,0.889,0.777,0.889,0.8,0.889,0.889,0.851,0.886
300,15,0.889,0.8,0.889,0.889,0.889,0.889,0.8,0.8,0.8,0.777,0.842,0.882
300,20,0.8,0.8,0.889,0.8,0.8,0.852,0.889,0.8,0.8,0.852,0.828,0.873
300,25,0.8,0.889,0.889,0.8,0.852,0.852,0.753,0.852,0.889,0.889,0.846,0.873
300,30,0.8,0.8,0.8,0.889,0.889,0.753,0.753,0.889,0.8,0.889,0.826,0.864
300,35,0.889,0.777,0.8,0.8,0.8,0.8,0.889,0.8,0.8,0.818,0.818,0.864
300,40,0.8,0.8,0.8,0.8,0.8,0.889,0.8,0.889,0.8,0.8,0.818,0.873
300,45,0.8,0.889,0.8,0.889,0.8,0.8,0.889,0.852,0.8,0.889,0.841,0.882
300,50,0.852,0.818,0.777,0.8,0.753,0.8,0.8,0.8,0.8,0.852,0.805,0.845
350,1,0.818,0.909,0.951,0.818,0.777,0.786,0.852,0.786,0.7,0.727,0.812,0.814
350,5,0.889,0.8,0.777,0.889,0.8,0.8,0.852,0.8,0.852,0.8,0.826,0.868
350,10,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.818,0.818,0.8,0.804,0.855
