n_estimators,max depth,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6,Round 7,Round 8,Round 9,Round 10,Avg F1 Score,Avg Accuracy
100,25,0.798,0.798,0.868,0.781,0.798,0.868,0.798,0.781,0.798,0.868,0.816,0.866
100,26,0.868,0.798,0.781,0.798,0.798,0.868,0.868,0.798,0.798,0.842,0.822,0.869
100,27,0.798,0.868,0.798,0.798,0.798,0.798,0.798,0.817,0.798,0.798,0.807,0.862
100,28,0.798,0.798,0.842,0.868,0.868,0.798,0.798,0.798,0.798,0.798,0.817,0.869
100,29,0.868,0.798,0.817,0.798,0.798,0.798,0.798,0.798,0.798,0.798,0.807,0.862
100,30,0.798,0.798,0.798,0.921,0.868,0.798,0.842,0.798,0.868,0.798,0.829,0.876
100,31,0.868,0.781,0.868,0.868,0.798,0.798,0.842,0.798,0.798,0.798,0.822,0.869
100,32,0.798,0.868,0.798,0.798,0.798,0.868,0.798,0.798,0.798,0.868,0.819,0.872
100,33,0.842,0.798,0.798,0.798,0.798,0.798,0.793,0.798,0.868,0.798,0.809,0.859
100,34,0.868,0.798,0.868,0.798,0.798,0.868,0.798,0.868,0.798,0.798,0.826,0.876
100,35,0.798,0.798,0.798,0.798,0.842,0.798,0.798,0.798,0.868,0.798,0.81,0.866
105,25,0.868,0.921,0.798,0.798,0.868,0.798,0.798,0.868,0.798,0.798,0.832,0.879
105,26,0.868,0.798,0.798,0.798,0.798,0.868,0.798,0.781,0.798,0.798,0.811,0.866
105,27,0.798,0.798,0.868,0.781,0.798,0.798,0.868,0.798,0.798,0.868,0.818,0.869
105,28,0.868,0.798,0.798,0.798,0.798,0.798,0.89,0.798,0.842,0.798,0.819,0.869
105,29,0.798,0.798,0.868,0.868,0.798,0.798,0.817,0.798,0.921,0.798,0.826,0.872
105,30,0.798,0.868,0.798,0.798,0.817,0.798,0.798,0.798,0.868,0.798,0.814,0.866
105,31,0.798,0.868,0.798,0.798,0.798,0.798,0.798,0.798,0.868,0.781,0.811,0.866
105,32,0.798,0.798,0.781,0.798,0.798,0.868,0.798,0.763,0.763,0.798,0.796,0.848
105,33,0.798,0.798,0.798,0.798,0.798,0.868,0.798,0.868,0.798,0.798,0.812,0.869
105,34,0.868,0.798,0.798,0.798,0.798,0.798,0.763,0.798,0.763,0.868,0.805,0.855
105,35,0.798,0.798,0.798,0.868,0.868,0.798,0.798,0.798,0.798,0.798,0.812,0.869
110,25,0.798,0.921,0.868,0.798,0.798,0.868,0.868,0.798,0.798,0.798,0.832,0.879
110,26,0.921,0.868,0.868,0.798,0.798,0.868,0.798,0.868,0.744,0.868,0.84,0.876
110,27,0.817,0.798,0.798,0.798,0.798,0.868,0.798,0.868,0.798,0.798,0.814,0.866
110,28,0.798,0.798,0.798,0.798,0.798,0.868,0.798,0.798,0.798,0.798,0.805,0.866
110,29,0.798,0.798,0.798,0.798,0.798,0.798,0.798,0.798,0.798,0.798,0.798,0.862
110,30,0.798,0.798,0.798,0.868,0.798,0.868,0.868,0.798,0.798,0.781,0.818,0.869
110,31,0.798,0.798,0.798,0.868,0.868,0.798,0.868,0.868,0.868,0.842,0.838,0.879
110,32,0.798,0.868,0.798,0.798,0.868,0.798,0.868,0.798,0.798,0.842,0.824,0.872
110,33,0.781,0.781,0.868,0.798,0.868,0.798,0.798,0.868,0.798,0.798,0.816,0.866
110,34,0.798,0.798,0.798,0.868,0.798,0.798,0.798,0.744,0.868,0.781,0.805,0.855
110,35,0.798,0.798,0.798,0.798,0.817,0.798,0.798,0.868,0.842,0.798,0.811,0.862
115,25,0.781,0.798,0.798,0.798,0.798,0.798,0.868,0.798,0.868,0.798,0.811,0.866
115,26,0.781,0.798,0.798,0.868,0.798,0.798,0.798,0.798,0.798,0.798,0.803,0.862
115,27,0.798,0.798,0.798,0.798,0.798,0.868,0.798,0.798,0.868,0.798,0.812,0.869
115,28,0.798,0.798,0.798,0.868,0.798,0.798,0.798,0.798,0.798,0.798,0.805,0.866
115,29,0.798,0.798,0.798,0.798,0.798,0.781,0.798,0.798,0.798,0.798,0.796,0.859
115,30,0.842,0.868,0.798,0.798,0.798,0.798,0.868,0.798,0.868,0.798,0.824,0.872
115,31,0.763,0.798,0.798,0.798,0.798,0.781,0.798,0.798,0.798,0.781,0.791,0.848
115,32,0.798,0.868,0.868,0.798,0.781,0.798,0.798,0.798,0.798,0.798,0.811,0.866
