n_estimators,max depth,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6,Round 7,Round 8,Round 9,Round 10,Avg F1 Score,Avg Accuracy
150,25,0.868,0.798,0.842,0.798,0.798,0.868,0.798,0.798,0.781,0.868,0.822,0.869
150,30,0.868,0.868,0.868,0.798,0.798,0.868,0.868,0.798,0.868,0.798,0.84,0.883
150,35,0.842,0.798,0.798,0.868,0.868,0.798,0.868,0.763,0.798,0.798,0.82,0.866
150,40,0.781,0.798,0.763,0.842,0.798,0.781,0.798,0.798,0.798,0.868,0.803,0.852
150,45,0.868,0.781,0.798,0.798,0.868,0.798,0.798,0.798,0.868,0.781,0.816,0.866
150,50,0.798,0.798,0.868,0.798,0.798,0.798,0.868,0.798,0.798,0.798,0.812,0.869
200,1,0.89,0.724,0.931,0.722,0.842,0.89,0.809,0.842,0.931,0.89,0.847,0.848
200,5,0.868,0.781,0.868,0.781,0.868,0.798,0.798,0.763,0.868,0.798,0.819,0.862
200,10,0.798,0.798,0.798,0.798,0.798,0.798,0.868,0.798,0.868,0.798,0.812,0.869
200,15,0.798,0.798,0.842,0.798,0.868,0.868,0.868,0.868,0.868,0.798,0.838,0.879
200,20,0.798,0.798,0.868,0.798,0.781,0.798,0.868,0.798,0.798,0.868,0.818,0.869
200,25,0.868,0.868,0.868,0.798,0.798,0.781,0.868,0.868,0.798,0.798,0.832,0.876
200,30,0.798,0.798,0.798,0.798,0.798,0.798,0.798,0.798,0.868,0.781,0.803,0.862
200,35,0.798,0.842,0.798,0.798,0.798,0.798,0.868,0.868,0.781,0.798,0.815,0.866
200,40,0.781,0.798,0.798,0.798,0.868,0.798,0.868,0.868,0.798,0.798,0.818,0.869
200,45,0.798,0.798,0.781,0.798,0.868,0.798,0.868,0.798,0.798,0.763,0.807,0.859
200,50,0.763,0.798,0.798,0.798,0.798,0.868,0.842,0.868,0.798,0.781,0.811,0.859
250,1,0.842,0.784,0.746,0.704,0.842,0.809,0.673,0.763,0.722,0.835,0.772,0.762
250,5,0.798,0.798,0.868,0.868,0.798,0.868,0.868,0.868,0.868,0.763,0.837,0.876
250,10,0.781,0.798,0.798,0.868,0.798,0.798,0.798,0.798,0.793,0.798,0.803,0.855
250,15,0.798,0.798,0.781,0.798,0.798,0.798,0.798,0.798,0.798,0.798,0.796,0.859
250,20,0.798,0.842,0.798,0.868,0.798,0.798,0.798,0.921,0.798,0.798,0.822,0.872
250,25,0.798,0.798,0.798,0.798,0.798,0.868,0.798,0.798,0.798,0.798,0.805,0.866
250,30,0.798,0.868,0.798,0.798,0.798,0.798,0.868,0.798,0.744,0.798,0.807,0.859
250,35,0.798,0.798,0.798,0.798,0.798,0.763,0.798,0.868,0.798,0.798,0.802,0.859
250,40,0.798,0.798,0.798,0.798,0.798,0.842,0.781,0.798,0.798,0.798,0.801,0.859
250,45,0.798,0.798,0.798,0.868,0.868,0.798,0.798,0.798,0.798,0.868,0.819,0.872
250,50,0.798,0.868,0.763,0.798,0.798,0.798,0.842,0.868,0.817,0.798,0.815,0.859
300,1,0.89,0.817,0.817,0.793,0.744,0.846,0.798,0.781,0.77,0.793,0.805,0.817
300,5,0.798,0.798,0.798,0.842,0.781,0.798,0.781,0.868,0.781,0.781,0.803,0.852
300,10,0.868,0.798,0.781,0.798,0.798,0.817,0.868,0.798,0.763,0.868,0.816,0.859
300,15,0.798,0.842,0.817,0.798,0.798,0.868,0.798,0.781,0.798,0.798,0.81,0.859
300,20,0.798,0.868,0.798,0.798,0.798,0.781,0.798,0.798,0.763,0.868,0.807,0.859
300,25,0.798,0.798,0.798,0.868,0.763,0.798,0.781,0.868,0.868,0.868,0.821,0.866
300,30,0.868,0.798,0.798,0.868,0.798,0.798,0.781,0.798,0.798,0.798,0.811,0.866
300,35,0.798,0.798,0.781,0.798,0.798,0.798,0.842,0.868,0.798,0.793,0.807,0.855
300,40,0.798,0.798,0.798,0.763,0.781,0.868,0.798,0.868,0.868,0.817,0.816,0.859
300,45,0.868,0.781,0.798,0.744,0.798,0.868,0.868,0.798,0.798,0.868,0.819,0.862
300,50,0.868,0.868,0.868,0.798,0.842,0.781,0.798,0.763,0.798,0.798,0.818,0.862
350,1,0.89,0.817,0.819,0.89,0.763,0.842,0.784,0.817,0.793,0.89,0.83,0.834
350,5,0.781,0.798,0.798,0.781,0.868,0.798,0.798,0.781,0.798,0.781,0.798,0.852
350,10,0.798,0.798,0.868,0.798,0.798,0.868,0.842,0.763,0.868,0.868,0.827,0.869
350,15,0.798,0.868,0.868,0.798,0.868,0.798,0.798,0.868,0.798,0.798,0.826,0.876
350,20,0.817,0.798,0.781,0.798,0.798,0.798,0.798,0.798,0.868,0.798,0.805,0.859
350,25,0.798,0.798,0.798,0.798,0.798,0.781,0.798,0.798,0.781,0.798,0.795,0.855
350,30,0.798,0.842,0.798,0.798,0.798,0.798,0.798,0.798,0.798,0.798,0.803,0.862
350,35,0.798,0.868,0.798,0.798,0.781,0.781,0.798,0.781,0.798,0.868,0.807,0.859
350,40,0.798,0.798,0.781,0.781,0.798,0.798,0.798,0.781,0.798,0.868,0.8,0.855
350,45,0.798,0.798,0.798,0.798,0.781,0.868,0.798,0.798,0.798,0.798,0.803,0.862
350,50,0.793,0.798,0.798,0.798,0.798,0.798,0.798,0.868,0.798,0.798,0.805,0.859
400,1,0.89,0.77,0.744,0.835,0.77,0.89,0.835,0.835,0.817,0.842,0.823,0.824
400,5,0.842,0.798,0.868,0.781,0.842,0.868,0.798,0.798,0.798,0.798,0.819,0.866
400,10,0.868,0.798,0.868,0.868,0.868,0.868,0.798,0.798,0.798,0.817,0.835,0.876
400,15,0.798,0.798,0.868,0.798,0.868,0.781,0.798,0.798,0.798,0.798,0.811,0.866
400,20,0.798,0.798,0.798,0.868,0.868,0.798,0.868,0.798,0.798,0.781,0.818,0.869
400,25,0.868,0.798,0.77,0.798,0.798,0.798,0.798,0.798,0.868,0.868,0.816,0.862
400,30,0.793,0.868,0.798,0.798,0.798,0.781,0.868,0.798,0.781,0.798,0.808,0.855
400,35,0.868,0.868,0.798,0.817,0.798,0.798,0.798,0.842,0.798,0.798,0.818,0.866
400,40,0.798,0.798,0.798,0.798,0.798,0.798,0.868,0.798,0.798,0.798,0.805,0.866
400,45,0.798,0.798,0.798,0.798,0.868,0.868,0.798,0.798,0.798,0.868,0.819,0.872
400,50,0.798,0.798,0.868,0.798,0.798,0.781,0.798,0.868,0.798,0.798,0.811,0.866
450,1,0.842,0.817,0.873,0.862,0.724,0.781,0.89,0.835,0.842,0.817,0.828,0.838
450,5,0.798,0.781,0.798,0.842,0.868,0.842,0.868,0.868,0.868,0.868,0.84,0.876
450,10,0.798,0.842,0.798,0.798,0.798,0.798,0.798,0.781,0.798,0.798,0.801,0.859
450,15,0.868,0.781,0.842,0.798,0.868,0.798,0.798,0.798,0.781,0.798,0.813,0.862
450,20,0.798,0.798,0.798,0.798,0.798,0.868,0.798,0.798,0.798,0.842,0.81,0.866
450,25,0.798,0.798,0.781,0.868,0.781,0.798,0.868,0.798,0.798,0.798,0.809,0.862
450,30,0.798,0.798,0.868,0.868,0.798,0.817,0.842,0.798,0.798,0.868,0.826,0.869
450,35,0.868,0.798,0.798,0.868,0.798,0.868,0.868,0.798,0.798,0.798,0.826,0.876
450,40,0.798,0.798,0.798,0.798,0.798,0.868,0.868,0.868,0.798,0.868,0.826,0.876
450,45,0.798,0.798,0.798,0.798,0.798,0.781,0.798,0.798,0.798,0.798,0.796,0.859
450,50,0.798,0.868,0.781,0.842,0.798,0.798,0.798,0.868,0.781,0.798,0.813,0.862
500,1,0.89,0.781,0.819,0.744,0.763,0.817,0.842,0.746,0.798,0.862,0.806,0.821
500,5,0.798,0.798,0.842,0.781,0.817,0.921,0.868,0.798,0.798,0.842,0.826,0.866
500,10,0.798,0.781,0.798,0.798,0.781,0.842,0.798,0.798,0.798,0.798,0.799,0.855
500,15,0.842,0.868,0.798,0.798,0.798,0.868,0.798,0.798,0.798,0.868,0.824,0.872
500,20,0.798,0.798,0.798,0.798,0.798,0.798,0.798,0.798,0.798,0.868,0.805,0.866
500,25,0.798,0.868,0.868,0.868,0.798,0.798,0.781,0.798,0.868,0.798,0.825,0.872
500,30,0.842,0.781,0.763,0.868,0.798,0.868,0.798,0.798,0.798,0.798,0.811,0.859
500,35,0.798,0.798,0.798,0.798,0.798,0.798,0.798,0.798,0.798,0.842,0.803,0.862
500,40,0.798,0.798,0.798,0.798,0.842,0.798,0.868,0.798,0.798,0.781,0.808,0.862
500,45,0.798,0.868,0.781,0.798,0.868,0.781,0.798,0.798,0.798,0.798,0.809,0.862
500,50,0.798,0.798,0.798,0.868,0.798,0.793,0.868,0.798,0.798,0.868,0.819,0.866
