n_estimators,max depth,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6,Round 7,Round 8,Round 9,Round 10,Avg F1 Score,Avg Accuracy
1,1,0.842,0.901,0.842,0.901,0.862,0.479,0.56,0.835,0.763,0.862,0.785,0.776
1,5,0.704,0.792,0.758,0.817,0.793,0.868,0.678,0.744,0.793,0.649,0.76,0.745
1,10,0.77,0.724,0.763,0.781,0.817,0.835,0.817,0.809,0.817,0.682,0.782,0.786
1,15,0.784,0.89,0.678,0.746,0.842,0.77,0.842,0.842,0.817,0.862,0.807,0.803
1,20,0.746,0.809,0.793,0.817,0.798,0.744,0.763,0.868,0.809,0.89,0.804,0.814
1,25,0.77,0.842,0.763,0.758,0.682,0.901,0.842,0.819,0.744,0.793,0.791,0.79
1,30,0.809,0.709,0.792,0.724,0.77,0.66,0.793,0.793,0.77,0.746,0.757,0.738
1,35,0.722,0.781,0.809,0.763,0.722,0.793,0.637,0.901,0.66,0.792,0.758,0.745
1,40,0.873,0.746,0.763,0.835,0.698,0.817,0.781,0.77,0.722,0.817,0.782,0.779
1,45,0.846,0.868,0.851,0.724,0.835,0.781,0.744,0.77,0.763,0.798,0.798,0.81
1,50,0.77,0.77,0.798,0.744,0.724,0.798,0.793,0.746,0.704,0.746,0.759,0.766
50,1,0.809,0.817,0.77,0.724,0.793,0.746,0.724,0.763,0.704,0.817,0.767,0.766
50,5,0.781,0.817,0.798,0.868,0.744,0.921,0.868,0.781,0.798,0.868,0.824,0.859
50,10,0.798,0.798,0.798,0.868,0.781,0.798,0.781,0.842,0.781,0.798,0.804,0.855
50,15,0.868,0.798,0.798,0.798,0.798,0.798,0.744,0.868,0.798,0.798,0.807,0.859
50,20,0.798,0.781,0.798,0.798,0.868,0.798,0.798,0.868,0.798,0.868,0.818,0.869
50,25,0.798,0.798,0.798,0.798,0.868,0.798,0.798,0.868,0.798,0.798,0.812,0.869
50,30,0.798,0.798,0.921,0.798,0.798,0.842,0.798,0.798,0.868,0.798,0.822,0.872
50,35,0.868,0.798,0.798,0.798,0.798,0.868,0.817,0.868,0.798,0.868,0.828,0.872
50,40,0.798,0.798,0.781,0.868,0.868,0.798,0.798,0.798,0.798,0.798,0.811,0.866
50,45,0.798,0.781,0.798,0.798,0.868,0.798,0.798,0.798,0.798,0.798,0.803,0.862
50,50,0.868,0.798,0.798,0.798,0.798,0.798,0.781,0.868,0.798,0.798,0.811,0.866
100,1,0.842,0.817,0.793,0.842,0.77,0.722,0.862,0.89,0.842,0.722,0.81,0.81
100,5,0.781,0.781,0.868,0.868,0.798,0.842,0.798,0.798,0.798,0.868,0.82,0.866
100,10,0.798,0.798,0.798,0.868,0.798,0.798,0.798,0.798,0.868,0.798,0.812,0.869
100,15,0.798,0.798,0.798,0.842,0.798,0.868,0.868,0.868,0.868,0.798,0.831,0.876
100,20,0.868,0.798,0.868,0.798,0.868,0.842,0.781,0.868,0.868,0.868,0.843,0.879
100,25,0.798,0.817,0.798,0.798,0.798,0.798,0.868,0.798,0.798,0.798,0.807,0.862
100,30,0.763,0.798,0.868,0.868,0.798,0.798,0.798,0.798,0.798,0.868,0.816,0.866
100,35,0.798,0.868,0.798,0.798,0.868,0.798,0.868,0.798,0.798,0.798,0.819,0.872
100,40,0.798,0.763,0.798,0.798,0.798,0.798,0.798,0.868,0.798,0.868,0.809,0.862
100,45,0.842,0.798,0.868,0.798,0.798,0.798,0.798,0.798,0.781,0.781,0.806,0.859
100,50,0.798,0.798,0.798,0.798,0.798,0.798,0.798,0.798,0.868,0.798,0.805,0.866
150,1,0.842,0.793,0.809,0.744,0.77,0.901,0.868,0.862,0.817,0.817,0.822,0.828
150,5,0.781,0.921,0.868,0.781,0.798,0.798,0.798,0.781,0.798,0.868,0.819,0.866
150,10,0.798,0.798,0.798,0.798,0.798,0.842,0.817,0.798,0.798,0.798,0.804,0.859
150,15,0.921,0.798,0.798,0.798,0.798,0.798,0.868,0.798,0.798,0.798,0.818,0.872
150,20,0.798,0.798,0.798,0.798,0.798,0.798,0.781,0.798,0.798,0.798,0.796,0.859
